web_scraper_order,web_scraper_start_url,chaussure_enfant,types_chaussures,prix,adresse,image_lien
"1766759954-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2472307","Chaussures enfant","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2472307_uploaded_image1_1595468941.jpg""); width: 568px;"
"1766759956-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2476339","Chaussures enfant","5 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2476339_uploaded_image1_1595551015.jpg""); width: 568px;"
"1766759958-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2476350","Chaussures enfant","7 500 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2476350_uploaded_image1_1595551356.jpg""); width: 568px;"
"1766759961-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2477046","Chaussures enfant","8 500 CFA","Biscuiterie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2477046_uploaded_image1_1595580779.jpg""); width: 374px;"
"1766759963-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2480204","Chaussures enfants","8 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2480204_uploaded_image1_1595631025.jpg""); width: 399px;"
"1766759966-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2480205","Chaussures enfants","8 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2480205_uploaded_image1_1595631053.jpg""); width: 399px;"
"1766759968-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-2481675","Baskets Jordan","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2481675_uploaded_image1_1595675783.jpg""); width: 422px;"
"1766759971-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484004","Chaussures enfants","5 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2484004_uploaded_image1_1595729080.jpg""); width: 568px;"
"1766759973-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484015","Chaussures enfants","7 500 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2484015_uploaded_image1_1595729350.jpg""); width: 568px;"
"1766759976-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484019","Chaussures enfants","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2484019_uploaded_image1_1595729648.jpg""); width: 568px;"
