web_scraper_order,web_scraper_start_url,containers_url2,types_chaussures,prix,adresse,image_lien
"1766754394-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussure-adidas-5187107","Chaussure Adidas","15 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5187107_uploaded_image1_1739630380.jpg""); width: 543px;"
"1766754397-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-louis-vuitton-5140176","Chaussures Louis Vuitton","40 000 CFA","Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5140176_uploaded_image1_1737136642.jpg""); width: 484px;"
"1766754399-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-dior-b22-5187627","Chaussures Dior b22","27 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5187627_uploaded_image1_1739657463.jpg""); width: 424px;"
"1766754402-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-5188393","Chaussures Nike","35 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5188393_uploaded_image1_1739721997.jpg""); width: 377px;"
"1766754405-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-t-45-5188402","Baskets  Nike T 45","35 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5188402_uploaded_image1_1739722646.jpg""); width: 377px;"
"1766754407-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-en-cuir-5149739","Chaussures en cuir","25 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5149739_uploaded_image1_1737648314.jpg""); width: 671px;"
"1766754410-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-adidas-5191469","Chaussures Adidas","23 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5191469_uploaded_image1_1739887825.jpg""); width: 539px;"
"1766754413-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-timberlands-5191477","Chaussures Timberlands","22 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5191477_uploaded_image1_1739887936.jpg""); width: 539px;"
"1766754416-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5193216","Chaussures homme","20 000 CFA","Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5193216_uploaded_image1_1739972583.jpg""); width: 588px;"
"1766754418-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5193398","Chaussures homme","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5193398_uploaded_image1_1739980600.jpg""); width: 558px;"
