types_habits,prix,adresse,image_lien
Ensemble costume enfant,25000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/723992_uploaded_image1_1562586931.16.png""); width: 604px;"
Ensemble costume enfant,25000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724000_uploaded_image1_1562587045.77.png""); width: 604px;"
Ensemble pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724043_uploaded_image1_1562587503.48.png""); width: 604px;"
Tenue enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724047_uploaded_image1_1562587553.26.png""); width: 604px;"
Tenue pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724052_uploaded_image1_1562587604.4.png""); width: 604px;"
Tenue enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724054_uploaded_image1_1562587650.41.png""); width: 604px;"
Tenue Enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724057_uploaded_image1_1562587700.41.png""); width: 604px;"
Tenues enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724060_uploaded_image1_1562587746.67.png""); width: 604px;"
Tenues enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724072_uploaded_image1_1562587876.78.png""); width: 604px;"
Tenue pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724081_uploaded_image1_1562588040.19.png""); width: 604px;"
Tenue pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724091_uploaded_image1_1562588225.16.png""); width: 604px;"
Tenue pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724102_uploaded_image2_1562588582.95.png""); width: 604px;"
Tenue pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724109_uploaded_image1_1562588631.85.png""); width: 604px;"
Tenue enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724113_uploaded_image1_1562588710.7.png""); width: 604px;"
Tenue enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724115_uploaded_image1_1562588760.4.png""); width: 604px;"
Tenue pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724122_uploaded_image1_1562588821.84.png""); width: 604px;"
Tenue enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724128_uploaded_image1_1562588912.66.png""); width: 604px;"
Tenue enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724130_uploaded_image1_1562588990.25.png""); width: 604px;"
Tenue pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724135_uploaded_image1_1562589070.16.png""); width: 604px;"
Tenue pour enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724138_uploaded_image1_1562589114.05.png""); width: 604px;"
Tenue enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724143_uploaded_image1_1562589274.19.png""); width: 604px;"
Tenue enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724146_uploaded_image1_1562589336.01.png""); width: 604px;"
Abaya enfant 2 ans - 5 ans,18000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/727626_uploaded_image1_1562678215.71.png""); width: 404px;"
Costume enfant,20000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/735207_uploaded_image1_1562852018.04.png""); width: 575px;"
Couches et vêtements enfants,8000,"Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/735868_uploaded_image1_1562861740.96.png""); width: 395px;"
Robe pour enfant,35000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/739801_uploaded_image1_1562946241.61.png""); width: 618px;"
Blouson enfant,18000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/752408_uploaded_image1_1563349196.32.png""); width: 575px;"
Costume enfant,20000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/752448_uploaded_image1_1563350256.56.png""); width: 575px;"
Jolies robes en wax,8000,Sénégal,"background-image: url(""https://images.coinafrique.com/afrikannonce_1011524_uploaded_image1_1569956569.73.jpg""); width: 374px;"
Robe brodée enfant,12000,Sénégal,"background-image: url(""https://images.coinafrique.com/afrikannonce_1011523_uploaded_image1_1569956567.47.jpg""); width: 374px;"
Robes toute mimi pour enfants,10000,Sénégal,"background-image: url(""https://images.coinafrique.com/afrikannonce_1011525_uploaded_image1_1569956572.46.jpg""); width: 374px;"
Joggings filles,3000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/760586_uploaded_image1_1563527322.48.png""); width: 492px;"
Robe enfant,10000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/760595_uploaded_image1_1563527531.24.png""); width: 492px;"
Robe avec petite traîne,12000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/760597_uploaded_image1_1563527596.64.png""); width: 492px;"
Ensemble fille,8000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/760599_uploaded_image1_1563527651.42.png""); width: 492px;"
Ensemble chic pour bébé,10000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/760600_uploaded_image1_1563527705.83.png""); width: 492px;"
Robe avec sacoche,10000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/760606_uploaded_image1_1563527782.19.png""); width: 492px;"
Djellaba Enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/765637_uploaded_image1_1563665776.21.png""); width: 550px;"
Vêtements enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/765642_uploaded_image1_1563665910.22.png""); width: 550px;"
Costume Enfant,20000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/766149_uploaded_image1_1563699401.63.png""); width: 575px;"
Costume enfant,20000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/766156_uploaded_image1_1563699576.64.png""); width: 575px;"
Ensemble Biberon 5 Pièces de Garçons en Bleu - à partir de la naissance 0 m et +,1900,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/777756_uploaded_image1_1563987300.49.png""); width: 470px;"
Tenue enfant,18000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/780901_uploaded_image1_1564061950.08.png""); width: 647px;"
Robe   Getzner  enfant,20000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/808545_uploaded_image1_1564848572.85.png""); width: 497px;"
Vêtements enfant - Bazin Getzner,20000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/808553_uploaded_image1_1564848715.66.png""); width: 497px;"
Robes bazin brodé - enfant,15000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/808557_uploaded_image1_1564848841.78.png""); width: 497px;"
Robe enfant,8000,Sénégal,
Vêtement  bébé,6000,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/882678_uploaded_image1_1566927510.43.png""); width: 604px;"
Gigoteuse,10000,Sénégal,"background-image: url(""https://images.coinafrique.com/894885_uploaded_image1_1567205957.07.png""); width: 594px;"
Blouson enfant,16000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/915850_uploaded_image1_1567763636.38.png""); width: 575px;"
Vêtements enfants,21000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/918122_uploaded_image1_1567809516.5.png""); width: 414px;"
Vêtements enfants,10500,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/918128_uploaded_image2_1567809825.59.png""); width: 414px;"
Vêtements enfants,12000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/918132_uploaded_image1_1567810084.62.png""); width: 414px;"
Robe pour enfant,7000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/961263_uploaded_image2_1568847805.97.png""); width: 404px;"
Robe classe,5000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/961269_uploaded_image1_1568848014.85.png""); width: 404px;"
Robe bébé - 1 an,25000,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/971896_uploaded_image1_1569081271.03.png""); width: 374px;"
Ensemble petits et grands,15000,"M'bour, Sénégal","background-image: url(""https://images.coinafrique.com/988554_uploaded_image1_1569436029.51.png""); width: 437px;"
Pull-over mauve,4500,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1020573_uploaded_image1_1570128555.58.png""); width: 374px;"
Robes,1250,"Grand Dakar, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1021961_uploaded_image1_1570172652.67.png""); width: 572px;"
Lange bébé 5 pièces,8500,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1027288_uploaded_image1_1570272791.38.png""); width: 470px;"
Chaussures filles et garçons,25000,Sénégal,"background-image: url(""https://images.coinafrique.com/1029318_uploaded_image1_1570324274.63.png""); width: 604px;"
Chemise,12000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1035457_uploaded_image1_1570472984.2.png""); width: 404px;"
Habillement,3000,"Guédiawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1043326_uploaded_image1_1570627731.54.png""); width: 543px;"
Jupe,3000,"Guédiawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1043331_uploaded_image1_1570627825.79.png""); width: 543px;"
Vêtements enfant,3500,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/1051586_uploaded_image1_1570792855.28.png""); width: 542px;"
Vêtements enfants,3500,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/1051591_uploaded_image1_1570792887.05.png""); width: 542px;"
Vêtements enfant,2500,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/1051629_uploaded_image1_1570793218.21.png""); width: 542px;"
Ensemble enfant,10000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061809_uploaded_image1_1571051353.3.png""); width: 426px;"
Ensemble enfant,10000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061814_uploaded_image1_1571051426.62.png""); width: 426px;"
T-shirt - enfant,5000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061821_uploaded_image1_1571051508.82.png""); width: 426px;"
Robe enfant,8000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061840_uploaded_image1_1571051674.17.png""); width: 426px;"
Pantalon - enfant,8000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061864_uploaded_image1_1571051920.44.png""); width: 426px;"
Chemise - enfant,7000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061871_uploaded_image1_1571051970.84.png""); width: 426px;"
Chemise - enfant,7000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061876_uploaded_image1_1571052006.69.png""); width: 426px;"
Chemise - enfant,8000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061891_uploaded_image1_1571052122.28.png""); width: 486px;"
Chemise-enfant,8000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061895_uploaded_image1_1571052162.4.png""); width: 426px;"
Ensemble - enfant,8000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061900_uploaded_image1_1571052225.61.png""); width: 426px;"
Pantalon enfant,8000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061915_uploaded_image1_1571052342.01.png""); width: 426px;"
Haut-enfant,6000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1061921_uploaded_image1_1571052396.32.png""); width: 426px;"
Ensemble enfant,15000,"M'bour, Sénégal","background-image: url(""https://images.coinafrique.com/1064667_uploaded_image1_1571103373.33.png""); width: 437px;"
Djellaba - enfant,5000,"Touba, Sénégal","background-image: url(""https://images.coinafrique.com/1091229_uploaded_image1_1571671997.99.png""); width: 374px;"
Vêtements enfant,5000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1108134_uploaded_image1_1571966882.1.png""); width: 436px;"
Maillots de bain,7000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1118621_uploaded_image1_1573389584.27.png""); width: 586px;"
Pull-over enfant,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1121633_uploaded_image1_1573928648.55.png""); width: 374px;"
Ensemble enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1144822_uploaded_image1_1572699281.14.png""); width: 517px;"
Vêtements enfant,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1144859_uploaded_image1_1572699549.63.png""); width: 517px;"
Ensemble enfant,10000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1144863_uploaded_image1_1572699593.81.png""); width: 517px;"
Habits,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1144890_uploaded_image1_1572699984.7.png""); width: 517px;"
Robes pour enfants,10000,"Grand Dakar, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1159823_uploaded_image1_1572990841.8.png""); width: 574px;"
Vêtements pour enfants et adultes,5000,"Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1164929_uploaded_image1_1573080199.92.png""); width: 386px;"
Robes  filles,10000,"Grand Dakar, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1174277_uploaded_image1_1573245424.6.png""); width: 572px;"
Blousons enfants,15000,"M'bour, Sénégal","background-image: url(""https://images.coinafrique.com/1181045_uploaded_image1_1573426145.72.png""); width: 437px;"
Ensemble veste - enfant,17500,"Guédiawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1204350_uploaded_image1_1573832159.93.png""); width: 374px;"
Ensemble enfant,15000,"Guédiawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1204362_uploaded_image1_1573832164.18.png""); width: 374px;"
Vêtement enfant,10000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1228231_uploaded_image1_1574275865.23.png""); width: 374px;"
Vêtements enfant,3000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1265573_uploaded_image1_1574947905.39.png""); width: 592px;"
Vêtements bébé,3000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1265617_uploaded_image1_1574948491.15.png""); width: 592px;"
Blouson pour enfant,14000,"Mboro, Sénégal","background-image: url(""https://images.coinafrique.com/1277041_uploaded_image2_1575227853.91.png""); width: 395px;"
3 chaussettes bébé 0-1 an,1500,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1283945_uploaded_image1_1575298312.76.png""); width: 642px;"
Bavoir + chaussons bébé,2000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1284009_uploaded_image1_1575298926.1.png""); width: 642px;"
Bavoir bébé 0-3 ans,1000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1284185_uploaded_image1_1575301233.88.png""); width: 642px;"
Vêtements bébé,3000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1303699_uploaded_image1_1575638913.69.png""); width: 592px;"
Vêtements bébé,2500,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1303712_uploaded_image1_1575639089.05.png""); width: 592px;"
Robe princesse,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1306722_uploaded_image1_1575705367.41.png""); width: 513px;"
