web_scraper_order,web_scraper_start_url,vetement_enfants,types_habits,prix,adresse,image_lien
"1766966894-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-723992","Ensemble costume enfant","25 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/723992_uploaded_image1_1562586931.16.png""); width: 604px;"
"1766966897-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-724000","Ensemble costume enfant","25 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724000_uploaded_image1_1562587045.77.png""); width: 604px;"
"1766966900-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-724043","Ensemble pour enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724043_uploaded_image1_1562587503.48.png""); width: 604px;"
"1766966904-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724047","Tenue enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724047_uploaded_image1_1562587553.26.png""); width: 604px;"
"1766966907-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724052","Tenue pour enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724052_uploaded_image1_1562587604.4.png""); width: 604px;"
"1766966910-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724054","Tenue enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724054_uploaded_image1_1562587650.41.png""); width: 604px;"
"1766966914-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724057","Tenue Enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724057_uploaded_image1_1562587700.41.png""); width: 604px;"
"1766966916-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724060","Tenues enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724060_uploaded_image1_1562587746.67.png""); width: 604px;"
"1766966919-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724072","Tenues enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724072_uploaded_image1_1562587876.78.png""); width: 604px;"
"1766966923-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724081","Tenue pour enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724081_uploaded_image1_1562588040.19.png""); width: 604px;"
"1766966925-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724091","Tenue pour enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724091_uploaded_image1_1562588225.16.png""); width: 604px;"
"1766966934-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724102","Tenue pour enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724102_uploaded_image2_1562588582.95.png""); width: 604px;"
"1766966937-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724109","Tenue pour enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724109_uploaded_image1_1562588631.85.png""); width: 604px;"
"1766966940-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724113","Tenue enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724113_uploaded_image1_1562588710.7.png""); width: 604px;"
"1766966942-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724115","Tenue enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724115_uploaded_image1_1562588760.4.png""); width: 604px;"
"1766966945-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724122","Tenue pour enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724122_uploaded_image1_1562588821.84.png""); width: 604px;"
"1766966948-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724128","Tenue enfant","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724128_uploaded_image1_1562588912.66.png""); width: 604px;"
