web_scraper_order,web_scraper_start_url,links1,types_habits,prix,adresse,image_lien
"1767049765-1","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-4428748","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4428748_uploaded_image1_1698170953.jpg""); width: 484px;"
"1767049770-2","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-4428752","Ensemble homme","12 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4428752_uploaded_image1_1698171233.jpg""); width: 484px;"
"1767049772-3","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/cargo-homme-4428755","Cargo homme","8 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4428755_uploaded_image1_1698171301.jpg""); width: 484px;"
"1767049775-4","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-4433204","Vêtements homme","15 000 CFA","Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4433204_uploaded_image1_1698434002.jpg""); width: 484px;"
"1767049778-5","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-4433202","Vêtements homme","15 000 CFA","Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4433202_uploaded_image1_1698433926.jpg""); width: 484px;"
"1767049781-6","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-4433207","Vêtements homme","12 000 CFA","Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4433207_uploaded_image1_1698434174.jpg""); width: 465px;"
"1767049784-7","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-4433205","Vêtements homme","15 000 CFA","Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4433205_uploaded_image1_1698434093.jpg""); width: 484px;"
"1767049787-8","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-4433215","Vêtements homme","15 000 CFA","Colobane, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4433215_uploaded_image1_1698434533.jpg""); width: 484px;"
"1767049790-9","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/pantalons-4470166","Pantalons","7 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4470166_uploaded_image1_1700773565.jpg""); width: 655px;"
"1767049793-10","https://sn.coinafrique.com/categorie/vetements-homme?page=22","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-4470663","Costume africain","18 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4470663_uploaded_image1_1700818821.jpg""); width: 546px;"
